序號,活動名稱,地點名稱,活動展演起日,活動展演迄日,活動型態,辦理單位,票價或費用
33,名間鄉立圖書館113年1-6月份常態性推廣活動：兒童繪畫（初級班、進階班）,南投縣名間鄉立圖書館,2024/1/6 09:30,2024/6/22 11:30,演講／講座／研討會,"主辦︰南投縣名間鄉公所
承辦︰南投縣名間鄉立圖書館","報名費︰3000
"
34,電影小說讀書會,欣榮紀念圖書館暨玉蘭文化會館,2024/1/6 14:30,2024/12/28 16:30,演講／講座／研討會,"主辦︰財團法人福田文教基金會
承辦︰欣榮紀念圖書館暨玉蘭文化會館",
35,113年度伊達邵地區藝文活動展演：邵式生活行旅,導覽集合地點：伊達邵社區牌樓集合（921怪手碑）,2024/1/11 09:30,2024/12/31 11:00,專題導覽,"主辦︰交通部觀光署日月潭國家風景區管理處
執行︰南投縣魚池鄉邵族文化發展協會",
36,113年度伊達邵地區藝文活動展演：邵族杵音展演,日月潭伊達邵碼頭廣場,2024/1/11 11:00,2024/12/31 16:20,表演與節慶,"主辦︰交通部觀光署日月潭國家風景區管理處
執行︰南投縣魚池鄉邵族文化發展協會",
37,113年度伊達邵地區藝文活動展演：多元體驗學堂（手作體驗）,邵族文化聚會所 （日月村義勇街62號）,2024/1/11 13:30,2024/12/31 15:30,演講／講座／研討會,"主辦︰交通部觀光署日月潭國家風景區管理處
執行︰南投縣魚池鄉邵族文化發展協會","材料費︰150
"
38,113年度伊達邵地區藝文活動展演：特有文化導覽（含傳統服飾體驗）,邵族文化聚會所（日月村義勇街62號）,2024/1/11 16:30,2024/12/31 17:20,專題導覽,"主辦︰交通部觀光署日月潭國家風景區管理處
執行︰南投縣魚池鄉邵族文化發展協會",
39,竹頭文學讀書會,欣榮紀念圖書館暨玉蘭文化會館,2024/1/13 10:00,2024/12/14 12:00,演講／講座／研討會,"主辦︰財團法人福田文教基金會
承辦︰欣榮紀念圖書館暨玉蘭文化會館",
40,如果 X 紙：2024埔里紙藝展,埔里花卉物流中心（埔里鎮籃城里中正路1004號2Ｆ）,2024/1/16 09:00,2024/3/10 16:30,展覽,"主辦︰國立臺灣工藝研究發展中心
協辦︰南投縣埔里鎮公所",
41,福漆啦！江舜堯師生聯展,臺灣省政資料館二樓第二特展室,2024/1/16 09:00,2024/3/24 17:00,展覽,主辦︰國家發展委員會檔案管理局,
42,文化部校外文化體驗計畫：藝文文旅，從『投』開始-南投竹山好厝邊,首站：國立臺灣工藝研究發展中心,2024/1/18 09:00,2024/5/2 15:40,專題導覽,"主辦︰文化部
協辦︰南投縣政府文化局",
43,2024埔里紙藝展系列活動（手抄紙體驗、拓碑體驗、手工書縫製）,埔里花卉物流中心（埔里鎮籃城里中正路1004號2Ｆ）,2024/1/20 10:00,2024/3/2 12:00,演講／講座／研討會,"主辦︰南投縣埔里鎮民代表會
主辦︰南投縣埔里鎮公所
指導︰國立臺灣工藝研究發展中心",
44,易學文化讀書會,欣榮紀念圖書館暨玉蘭文化會館,2024/1/23 19:00,2024/12/24 21:00,演講／講座／研討會,"主辦︰財團法人福田文教基金會
承辦︰欣榮紀念圖書館暨玉蘭文化會館",
45,「龍年攝影」特展,南投縣文化園區,2024/1/27 09:00,2024/4/30 17:00,展覽,"主辦︰南投縣政府文化局
指導︰南投縣政府",
46,【國立臺灣工藝研究發展中心七十週年慶展】「三生有幸－藝活相生」工藝特展,國立臺灣工藝研究發展中心（臺灣工藝文化園區）,2024/2/1 09:00,2024/8/4 17:00,展覽,"主辦︰國立臺灣工藝研究發展中心
承辦︰臺灣工藝聯盟總會
指導︰文化部",
47,＜歲月．絲化成詩＞蕭明輝新水墨個展,星紅藝廊（南投市向上路271號3F）,2024/2/1 11:30,2024/3/12 19:30,展覽,主辦︰星紅藝廊,
48,九族櫻花祭特別加演：太鼓迎春快閃（每日3場）,九族文化村馬雅廣場（魚池鄉大林村金天巷45號）,2024/2/1 12:00,2024/3/10 16:20,表演與節慶,"主辦︰九族文化村股份有限公司
指導︰交通部觀光署日月潭國家風景區管理處","成人票︰900
學生票︰800
兒童票︰700
博幼票︰450
"
49,九族櫻花祭特別加演：YOSAKOI舞蹈快閃（每日1場）,九族文化村星際廣場（魚池鄉大林村金天巷45號）,2024/2/1 16:10,2024/3/10 16:30,表演與節慶,"主辦︰九族文化村股份有限公司
指導︰交通部觀光署日月潭國家風景區管理處","成人票︰900
學生票︰800
兒童票︰700
博幼票︰450
"
50,相遇的喜悅-張芯晨創作展,南投縣藝術家資料館,2024/2/3 09:00,2024/3/6 17:00,展覽,"主辦︰南投縣政府文化局
指導︰南投縣政府",
51,自若舒心－拾勤畫會2024年度畫展,虎山藝術館,2024/2/3 09:00,2024/3/13 17:00,展覽,主辦︰南投縣政府文化局,
52,新水墨作品導覽與技法解說（5場次）,星紅藝廊（南投市向上路271號3F）,2024/2/3 14:00,2024/3/2 15:30,演講／講座／研討會,主辦︰星紅藝廊,
53,2024麒麟潭燈會～森野波光舞銀潭,鹿谷鄉麒麟潭 (鹿谷鄉堀邊巷),2024/2/3 18:00,2024/3/17 22:00,表演與節慶,"主辦︰南投縣鹿谷鄉公所
指導︰南投縣政府
指導︰交通部觀光署",
54,Aboriginal Dreamtime 生命之歌，原民藝術與靈魂的奇蹟引導＿楊朝欽個展,大灶美術館（埔里鎮籃城五巷4-1號，同籃城書房）,2024/2/8 11:00,2024/4/8 17:00,展覽,策劃︰木石之光藝術工作室,
55,九族櫻花祭特別加演：櫻花鄉情民歌（每日1場）,九族文化村櫻花湖畔（魚池鄉大林村金天巷45號）,2024/2/10 17:30,2024/3/3 18:00,表演與節慶,"主辦︰九族文化村股份有限公司
指導︰交通部觀光署日月潭國家風景區管理處","成人票︰900
學生票︰800
兒童票︰700
博幼票︰450
"
56,九族櫻花祭特別加演：夜櫻夜夜點燈儀式（每日1場）,九族文化村馬雅廣場（魚池鄉大林村金天巷45號）,2024/2/10 17:30,2024/3/3 18:00,表演與節慶,"主辦︰九族文化村股份有限公司
指導︰交通部觀光署日月潭國家風景區管理處","成人票︰900
學生票︰800
兒童票︰700
博幼票︰450
"
57,九族櫻花祭特別加演：夜舞祭（每日1場）,九族文化村文化廣場（魚池鄉大林村金天巷45號）,2024/2/10 18:10,2024/3/3 18:40,表演與節慶,"主辦︰九族文化村股份有限公司
指導︰交通部觀光署日月潭國家風景區管理處","成人票︰900
學生票︰800
兒童票︰700
博幼票︰450
"
58,南投崇文節：真趣味書展,南成書局-南投市文昌街116號(藍田書院旁),2024/2/13 09:00,2024/3/12 21:00,展覽,"主辦︰文化部
協辦︰南投縣政府文化局
協辦︰南投縣南投市公所
統籌︰巷內客廳工作室（南成書局）",
59,南投崇文節：真趣味書展,大大書局-南投市復興路165號,2024/2/13 09:00,2024/3/12 21:00,展覽,"主辦︰文化部
協辦︰南投縣政府文化局
協辦︰南投縣南投市公所
統籌︰巷內客廳工作室（南成書局）",
60,南投崇文節：真趣味書展,墊腳石書局-埔里店（埔里鎮中正路369號）,2024/2/13 09:00,2024/3/12 21:00,展覽,"主辦︰文化部
協辦︰南投縣政府文化局
協辦︰南投縣南投市公所
統籌︰巷內客廳工作室（南成書局）",
61,南投崇文節：真趣味書展,籃城書房-埔里鎮籃城5巷4號,2024/2/13 09:00,2024/3/12 21:00,展覽,"主辦︰文化部
協辦︰南投縣政府文化局
協辦︰南投縣南投市公所
統籌︰巷內客廳工作室（南成書局）",
62,南投崇文節：真趣味書展,新文明書店-竹山鎮竹山路129號,2024/2/13 09:00,2024/3/12 21:00,展覽,"主辦︰文化部
協辦︰南投縣政府文化局
協辦︰南投縣南投市公所
統籌︰巷內客廳工作室（南成書局）",
63,南投崇文節：真趣味書展,文華書局-草屯鎮青雲街14號,2024/2/13 09:00,2024/3/12 21:00,展覽,"主辦︰文化部
協辦︰南投縣政府文化局
協辦︰南投縣南投市公所
統籌︰巷內客廳工作室（南成書局）",
64,九族櫻花祭：櫻花茶會-古琴悠揚 (日月潭茶藝文化推廣協會)（4場）,九族文化村富士櫻櫻花林（魚池鄉大林村金天巷45號）,2024/2/16 10:30,2024/3/1 15:00,表演與節慶,"主辦︰九族文化村股份有限公司
協辦︰南投縣魚池鄉公所
指導︰交通部觀光署日月潭國家風景區管理處","博幼票︰450
兒童票︰700
學生票︰800
成人票︰900
"
65,2024暨大櫻花季：民歌清韻合唱團（2天次）,國立暨南國際大學管理學院旁櫻花林,2024/2/18 10:00,2024/3/2 15:00,表演與節慶,"主辦︰國立暨南國際大學
指導︰交通部觀光署日月潭國家風景區管理處","停車費︰100
"
66,中興高中高三學生藝術創作展,國立中興高級中學,2024/2/19 08:00,2024/3/15 18:00,展覽,主辦︰國立中興高級中學,
67,文化部校外文化體驗計畫：藝文文旅，從『投』開始-南投埔里好友去,首站：大馬璘文化園區,2024/2/20 09:00,2024/5/31 15:30,專題導覽,"主辦︰文化部
協辦︰南投縣政府文化局",
68,113年世界母語日「故鄉歌謠祭」系列活動：故鄉詩歌行動書展,南投縣政府文化局圖書館,2024/2/21 08:30,2024/3/31 17:00,展覽,"主辦︰南投縣政府文化局
承辦︰南投縣政府文化局圖書館",
69,龍鳳呈祥－中華古文物精品收藏展,國史館臺灣文獻館,2024/2/22 09:00,2024/3/10 17:00,展覽,"主辦︰國史館臺灣文獻館
指導︰中華古藝術鑑傳協會",
70,2024竹夢森活節,鹿谷鄉小半天石馬公園,2024/2/24 09:00,2024/3/3 16:00,綜合,主辦︰南投縣政府,"竹筒飯報名費︰20
"
71,南投縣說畫學會聯展,南投縣政府文化局,2024/2/24 09:00,2024/3/6 17:00,展覽,"主辦︰南投縣政府
承辦︰南投縣政府文化局",
72,洪澄清、黃悅真詩書畫八十特展,南投縣政府文化局,2024/2/24 09:00,2024/3/6 17:00,展覽,"主辦︰南投縣政府
承辦︰南投縣政府文化局",
73,釋石．南投40載-許慶福創作展,南投縣政府文化局,2024/2/24 09:00,2024/3/6 17:00,展覽,"主辦︰南投縣政府
承辦︰南投縣政府文化局",
74,2024陶痴陶展,南投縣政府文化局,2024/2/24 09:00,2024/3/20 17:00,展覽,"主辦︰南投縣政府
承辦︰南投縣政府文化局",
75,南投縣熊愛閱讀說情畫意112-1期縣長獎得獎作品巡迴展,南投縣魚池鄉立圖書館,2024/3/1 08:00,2024/4/15 17:00,展覽,"主辦︰南投縣政府文化局
執行︰南投縣魚池鄉立圖書館
合辦︰財團法人18℃文化基金會
指導︰南投縣政府",
76,113年3-4月書展：情感之旅 繪本奇遇,南投縣中寮鄉立圖書館,2024/3/1 09:00,2024/4/30 17:00,展覽,"主辦︰南投縣中寮鄉公所
承辦︰南投縣中寮鄉立圖書館",
77,日月潭街頭藝人表演-文武廟、伊達邵碼頭、水社碼頭、玄光寺碼頭（113年3月）,日月潭國家風景區,2024/3/1 09:00,2024/3/31 21:00,表演與節慶,主辦︰交通部觀光署日月潭國家風景區管理處,
78,日月潭街頭藝人表演-車埕文化廣場（113年3月）,水里鄉車埕文化廣場,2024/3/1 09:00,2024/3/31 17:00,表演與節慶,主辦︰交通部觀光署日月潭國家風景區管理處,
79,拈花惹草圖書展,南投縣草屯鎮立圖書館,2024/3/1 09:00,2024/3/31 17:00,展覽,"主辦︰南投縣草屯鎮公所
承辦︰南投縣草屯鎮立圖書館",
80,熱門書展＆新進童書展（113年3月）,國立公共資訊圖書館中興分館,2024/3/1 09:00,2024/3/31 17:00,展覽,主辦︰國立公共資訊圖書館中興分館,
81,2024鹿谷鄉慚愧祖師文化觀光節：鹿谷鄉慚愧文化季,鹿谷鄉農會茶業文化館廣場(鹿谷鄉中正路一段231號),2024/3/2 08:00,2024/3/3 18:00,表演與節慶,"主辦︰南投縣鹿谷鄉公所
承辦︰ 南投縣鹿谷鄉龍山廟
指導︰南投縣政府
指導︰文化部
指導︰經濟部水利署中區水資源分署",
82,「慢讀好食刻」全國公共圖書館巡迴展,南投縣政府文化局圖書館,2024/3/2 09:00,2024/3/24 18:00,展覽,"主辦︰教育部
主辦︰國立公共資訊圖書館
合辦︰農業部
合辦︰財團法人灃食公益飲食文化教育基金會
合辦︰財團法人觀樹教育基金會
協辦︰南投縣政府文化局",
83,繪本故事時間（113年3月）,國立公共資訊圖書館中興分館,2024/3/2 09:30,2024/3/30 10:30,演講／講座／研討會,主辦︰國立公共資訊圖書館中興分館,
84,「青少年閱讀與寫作培力」講座,南投縣政府文化局圖書館,2024/3/2 09:30,2024/3/2 11:30,演講／講座／研討會,"主辦︰南投縣政府文化局
承辦︰南投縣政府文化局圖書館",
85,歡樂故事列車（113年3月）,南投縣政府文化局圖書館,2024/3/2 10:00,2024/3/24 11:00,演講／講座／研討會,主辦︰南投縣政府文化局,
86,南投崇文節創新書市雙市集,南投縣文化園區,2024/3/2 10:00,2024/3/3 18:00,綜合,"主辦︰文化部
協辦︰南投縣政府文化局
協辦︰南投縣南投市公所
統籌︰巷內客廳工作室（南成書局）",
87,【影中之木】徐曼芸個展,毓繡美術館文創商店,2024/3/2 10:00,2024/7/14 17:00,展覽,主辦︰財團法人毓繡文化基金會,
88,黃至正：人間喜劇,毓繡美術館3樓,2024/3/2 10:00,2024/7/21 17:00,展覽,主辦︰財團法人毓繡文化基金會,
89,洪瑄：正確地稱呼,毓繡美術館1-2樓,2024/3/2 10:00,2024/7/21 17:00,展覽,主辦︰財團法人毓繡文化基金會,
90,MOMO故事屋（113年3月）,欣榮紀念圖書館暨玉蘭文化會館,2024/3/2 10:30,2024/3/16 11:30,演講／講座／研討會,"主辦︰欣榮紀念圖書館暨玉蘭文化會館
指導︰財團法人福田文教基金會",
91,南投崇文節開幕表演：魁星進盔甲—藍田書院祭典戲目,南投縣文化園區,2024/3/2 10:40,2024/3/2 11:00,表演與節慶,"主辦︰文化部
協辦︰南投縣政府文化局
協辦︰南投縣南投市公所
統籌︰巷內客廳工作室（南成書局）",
92,南投崇文節：古箏演奏＆茶道表演,南投縣文化園區,2024/3/2 14:00,2024/3/2 16:00,表演與節慶,"主辦︰文化部
協辦︰南投縣政府文化局
協辦︰南投縣南投市公所
統籌︰巷內客廳工作室（南成書局）",
93,週末電影院（113年3月）,南投縣政府文化局圖書館,2024/3/2 14:00,2024/3/30 15:27,影片播放,"主辦︰南投縣政府文化局
承辦︰南投縣政府文化局圖書館",
94,龍年南投攝影藝文講座：攝影技巧教學-如何拍好一張光線不良環境的作品閃光燈的使用時機,南投縣文化園區,2024/3/2 14:00,2024/3/2 16:00,演講／講座／研討會,"主辦︰南投縣政府文化局
協辦︰南投縣藝術家攝影協會
指導︰南投縣政府",
95,金像電影院：塔爾（113年3月）,欣榮紀念圖書館暨玉蘭文化會館,2024/3/2 14:30,2024/3/2 16:58,影片播放,"主辦︰欣榮紀念圖書館暨玉蘭文化會館
指導︰財團法人福田文教基金會",
96,國立公共資訊圖書館中興分館電影欣賞（113年3月）,國立公共資訊圖書館中興分館,2024/3/2 14:30,2024/3/31 16:05,影片播放,主辦︰國立公共資訊圖書館中興分館,
97,說故事時間（113年3月）,南投縣草屯鎮立圖書館,2024/3/2 15:00,2024/3/23 16:00,演講／講座／研討會,"主辦︰南投縣草屯鎮公所
承辦︰南投縣草屯鎮立圖書館",
98,2024新展覽（徐曼芸-影中之木、黃至正-人間喜劇、洪瑄-正確地稱呼）開幕導覽,毓繡美術館,2024/3/2 15:30,2024/3/2 16:30,專題導覽,主辦︰財團法人毓繡文化基金會,
99,南投崇文節：歌手演唱-宇宙新星音樂 Sofa、阿鯨、萱,南投縣文化園區,2024/3/2 17:30,2024/3/2 20:30,表演與節慶,"主辦︰文化部
協辦︰南投縣政府文化局
協辦︰南投縣南投市公所
統籌︰巷內客廳工作室（南成書局）",
100,2024鹿谷鄉慚愧祖師文化觀光節：三立電視-超級夜總會,鹿谷鄉農會茶業文化館廣場(鹿谷鄉中正路一段231號),2024/3/2 17:30,2024/3/2 21:00,表演與節慶,"主辦︰南投縣鹿谷鄉公所
承辦︰ 南投縣鹿谷鄉龍山廟
指導︰南投縣政府
指導︰文化部",
101,2024竹山『小鎮躍動』藝文表演：元禎藝術舞蹈團,菸葉館舞台區（竹山菸草站-竹山鎮祖師街32號）,2024/3/2 19:00,2024/3/2 21:00,表演與節慶,主辦︰南投縣竹山鎮公所,
102,113年3月份作伙㱃咖啡：埔農長老教會演出,南投縣埔里鎮仁愛公園,2024/3/2 19:00,2024/3/2 21:10,表演與節慶,"主辦︰南投縣埔里鎮公所
主辦︰南投縣埔里鎮民代表會",
103,南投崇文節：表演活動-新銳男子組合費加洛,南投縣文化園區,2024/3/3 10:30,2024/3/3 12:30,表演與節慶,"主辦︰文化部
協辦︰南投縣政府文化局
協辦︰南投縣南投市公所
統籌︰巷內客廳工作室（南成書局）",
104,南投崇文節：小旅行＆體驗活動,南投縣文化園區,2024/3/3 11:00,2024/3/3 12:30,綜合,"主辦︰文化部
協辦︰南投縣政府文化局
協辦︰南投縣南投市公所
統籌︰巷內客廳工作室（南成書局）","酒精墨水大理石杯墊創作體驗︰850
手洗天然愛玉尬名間茶-名茗之間︰200
南投中軸線舊街小旅行︰250
似顏繪文創體驗︰200
檜木筷子製作︰150
"
105,南投崇文節-南投學講座：南投郎南漂高雄-透過插畫與紙閱讀地方,南投縣文化園區,2024/3/3 13:15,2024/3/3 14:30,演講／講座／研討會,"主辦︰文化部
協辦︰南投縣政府文化局
協辦︰南投縣南投市公所
統籌︰巷內客廳工作室（南成書局）",
106,南投崇文節：茶道、歌唱＆閉幕表演,南投縣文化園區,2024/3/3 14:00,2024/3/3 17:45,表演與節慶,"主辦︰文化部
協辦︰南投縣政府文化局
協辦︰南投縣南投市公所
統籌︰巷內客廳工作室（南成書局）",
107,【藝文講堂】離經叛道-創作的起手式,毓繡美術館,2024/3/3 14:00,2024/3/3 16:00,演講／講座／研討會,主辦︰財團法人毓繡文化基金會,"費用︰200
"
108,南投崇文節-南投學講座：台中舊城新生活-1位建築系老師的街區生活實踐,南投縣文化園區,2024/3/3 14:40,2024/3/3 16:10,演講／講座／研討會,"主辦︰文化部
協辦︰南投縣政府文化局
協辦︰南投縣南投市公所
統籌︰巷內客廳工作室（南成書局）",
109,南投縣政府文化局113年春季藝文研習班,南投縣政府文化局,2024/3/5 09:00,2024/6/30 16:30,以學習技能（藝）課程為主之研習,"主辦︰南投縣政府文化局
指導︰南投縣政府","報名費(每週研習2小時)︰1800
報名費(每週研習3小時)︰2500
"
110,南投縣政府文化局113年春季藝文研習班（虎山）,虎山藝術館,2024/3/5 09:00,2024/6/30 16:30,以學習技能（藝）課程為主之研習,"主辦︰南投縣政府文化局
指導︰南投縣政府","報名費(每週研習2小時)︰1800
報名費(每週研習3小時)︰2500
"
111,小康軒繪本新書分享會,南投縣中寮鄉中寮國民小學,2024/3/6 13:30,2024/3/6 15:30,演講／講座／研討會,"主辦︰南投縣政府文化局
主辦︰康軒文教事業幼教事業部
承辦︰南投縣政府文化局圖書館",
112,月花迎春風聯展,南投縣藝術家資料館,2024/3/9 09:00,2024/3/31 17:00,展覽,"主辦︰南投縣政府文化局
指導︰南投縣政府",
113,造境．意境-王雅品、李易宸陶藝攝影雙個展,南投縣政府文化局,2024/3/9 09:00,2024/3/20 17:00,展覽,"主辦︰南投縣政府
承辦︰南投縣政府文化局",
114,龍來九怪-磺溪九怪甲辰書法展,南投縣政府文化局,2024/3/9 09:00,2024/3/20 17:00,展覽,"主辦︰南投縣政府
承辦︰南投縣政府文化局",
115,2024創紀畫會聯展,南投縣政府文化局,2024/3/9 09:00,2024/3/20 17:00,展覽,"主辦︰南投縣政府
承辦︰南投縣政府文化局",
116,信義鄉原住民文化館：攝影課程,信義鄉原住民文化館（纙娜村信筆巷139號）,2024/3/9 09:00,2024/5/4 16:00,演講／講座／研討會,"主辦︰南投縣信義鄉公所
指導︰行政院原住民族委員會
指導︰南投縣政府",
117,113年世界母語日「故鄉歌謠祭」系列活動：關於母語的五感體驗-親子童趣場,南投縣政府文化局圖書館,2024/3/9 09:30,2024/3/9 11:30,演講／講座／研討會,"主辦︰南投縣政府文化局
承辦︰南投縣政府文化局圖書館",
118,台灣綠工藝假日廣場-蔓漫植感日常：工藝閱讀-說故事,國立臺灣工藝研究發展中心（臺灣工藝文化園區）,2024/3/9 10:30,2024/3/31 15:30,演講／講座／研討會,"主辦︰國立臺灣工藝研究發展中心
指導︰文化部",
119,九族櫻花祭：櫻花大道召集令-富士櫻太鼓弄春（2場）,九族文化村（魚池鄉大林村金天巷45號）,2024/3/9 10:30,2024/3/9 15:00,表演與節慶,"主辦︰九族文化村股份有限公司
指導︰交通部觀光署日月潭國家風景區管理處","博幼票︰450
兒童票︰700
學生票︰800
成人票︰900
"
120,MiMi電影院（113年3月）,欣榮紀念圖書館暨玉蘭文化會館,2024/3/9 10:30,2024/3/23 12:06,影片播放,"主辦︰欣榮紀念圖書館暨玉蘭文化會館
指導︰財團法人福田文教基金會",
